server_subject	java
java_jar_sha256	91c1842f0a4fe55e7667174f680ebd427d4f70600322f63a09d01039584ccb08
alice_leaf_sha256	8cd93aaff005321e0107fd88643a7652a89e954799d29db31d81d958fa771332
remap	alice's leaf hash -> owner mallory (map edited between stop and restart)
after_remap_attach	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_retry	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_cancel	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_lookup	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_read	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
refusal_codes_after_remap	UNAUTHORIZED (3)
pre_remap_output_still_valid	true (sha256=e320972bcd0ddc716cf3ae45e1e47a8b4de7a88016906f231087b2985ce20682)
live_connection_recheck	not observable through stop/restart: every connection died with the graceful stop, so only fresh connections are re-evaluated here
