server_subject	rust
client_subject	rust raw peer (several connections, incomplete staging transfers held open)
declared_pending_limit	16 (capability selection, read on the wire)
declared_stream_limit	4 (capability selection)
declared_session_limits	scopes=4096 entities=1000000 operations=1000000 input_bytes=1073741824 output_bytes=1073741824 active_jobs=16 (session binding receipt)
java_memory_freeze	not applicable: no JVM in this subject group
pending_ceiling	declared pending_limit 16; 16 waits granted and left unanswered (0 answered immediately and held no slot), and attempt 17 (request 19) was refused LIMIT_EXCEEDED (4) detail="connection pending limit". The ceiling that fires is not necessarily the declared pending_limit and the row does not claim it is
pending_existing_promises	16/16 waits granted before exhaustion were answered after the watched work was admitted on a second connection (0 other control frames drained and logged)
staging_streams_opened	8 incomplete input transfers over 2 connections (8 still held at the end of the sweep, 0 stopped by the subject while being written); hard caps 200 streams / 8 connections per principal
staging_ceiling	NEW work refused on staging attempt 5 (principal alice) with LIMIT_EXCEEDED (4), tag_kind=1 tag_id=2 detail="input transfer capacity exhausted"
capacity_charged_while_busy	still charged: a further staging attempt while every transfer is held is refused again, code=4 detail="input transfer capacity exhausted"
staging_existing_promises	kept: the staging transfer accepted before exhaustion (work 0:0:100004, stream 14) completed to an admission receipt naming stream 14 while NEW work stayed refused
reconcile_after_cleanup	after-cleanup: attempt 12 failed: expected control frame 3, got 7 (body 8382000207781c6f7065726174696f6e20706172616d6574657273206368616e676564) (bounded wait 60s)
reconcile_after_restart	after-restart: attempt 12 failed: expected control frame 3, got 7 (body 8382000207781c6f7065726174696f6e20706172616d6574657273206368616e676564) (bounded wait 60s)
retained_bytes_across_restart	store file lengths total 275685 B before the restart and 275685 B after it (separate scope from allocated blocks; both are in store.tsv per file and per checkpoint)
collector	pre-restart 986 ticks / 986 lines / 0 errors; post-restart 603 ticks / 603 lines / 0 errors
fds	baseline median=12 -> staging held p90=17 (max 20) -> after release p90=13 (max 15)
rss_kib	baseline median=16000 -> staging held p90=18556 -> after release p90=19016
threads	baseline median=50 -> staging held max=53 -> after release max=49
journal_ceiling_declared	session binding receipt: scopes=4096 entities=1000000 operations=1000000 input_bytes=1073741824 output_bytes=1073741824 active_jobs=16. Configured file ceilings that this row does NOT drive to exhaustion: the java subject's bounded-SQLite policy (256 MiB database, 64 MiB WAL, 64 MiB rollback journal, 512 KiB shared memory) and its object store policy (8 GiB bytes, 10,000 files, 128 handles); the rust authority's equivalent record-completion capacity. Driving any of them needs hundreds of megabytes of committed records, which is outside this row's bounded budget
journal_observed_peak	largest authority.sqlite length observed across 6 checkpoints: 143360 B (file length and allocated blocks are separate scopes, both per file in store.tsv)
store_checkpoints	38 records across after-cleanup, after-restart, before-restart, pending-ceiling, staging-full, start
row_status	PARTIAL: the pending-response and staging-object ceilings are driven to exhaustion and their refusals, promise-keeping, handle bounds and reconciliation are asserted, but the journal/retained-BYTE ceilings are recorded rather than driven (see journal_ceiling_declared). Named reason, never a skip
