server_subject	java
java_jar_sha256	5a149b9ddc88b4c8ce3774c8296e058f7a41ddc384906209d54b9eeefa76202c
alice_leaf_sha256	26b47dad0f9b2e614c30c378bc388a1f98704a5c02e7575123fb11b3a17ed4e8
remap	alice's leaf hash -> owner mallory (map edited between stop and restart)
after_remap_attach	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_retry	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_cancel	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_lookup	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
after_remap_read	refused UNAUTHORIZED (3): authority refusal UNAUTHORIZED: session access denied
refusal_codes_after_remap	UNAUTHORIZED (3)
pre_remap_output_still_valid	true (sha256=e320972bcd0ddc716cf3ae45e1e47a8b4de7a88016906f231087b2985ce20682)
live_connection_recheck	not observable through stop/restart: every connection died with the graceful stop, so only fresh connections are re-evaluated here
