server_subject	java
client_subject	rust raw peer (one connection per phase)
capability_network_namespace	UNAVAILABLE (so no fixture-scoped interface counter exists on this host): `unshare -n true` -> exit exit status: 1 — unshare: unshare failed: Operation not permitted; `unshare -r -n true` -> exit exit status: 1 — unshare: write failed /proc/self/uid_map: Operation not permitted
capability_packet_capture	UNAVAILABLE (so packet-level byte accounting falls back to the source-pinned transport's own per-connection UDP counters): `tcpdump -i lo -c 1 -w /dev/null` -> exit exit status: 1 — tcpdump: lo: You don't have permission to perform this capture on that device
method_in_use	proc-net-dev (host-scoped interface counters) AND quinn-conn-udp (fixture-scoped per-connection transport counters), recorded per sample, reported separately
host_idle_baseline	over 10s with no fixture traffic the host's lo moved rx=4074B/36pkt tx=4074B/36pkt. That is the contamination floor of the host-scoped method and is why every figure below is reported alongside the fixture-scoped one
handshake_tls_bytes_interface	proc-net-dev, HOST-SCOPED: rx=14455B/24pkt tx=14455B/24pkt over the mTLS handshake, ALPN, capability negotiation and session creation, with no payload in existence. Loopback double-counting: wire bytes are half the sum, 14455B
handshake_tls_bytes_transport	quinn-conn-udp, FIXTURE-SCOPED, same phase: udp_tx=10879B/14dg udp_rx=2904B/10dg sent_packets=15 lost_packets=1 lost_bytes=66 congestion_events=1 current_mtu=1452
logical_payload_bytes	4194304 bytes of application payload, plus its framed input header. This is recorded as its own number and compared with the measured figures below; no network figure in this row is derived from it
transfer_bytes_interface	proc-net-dev, HOST-SCOPED: rx=4362232B/597pkt tx=4362232B/597pkt; wire bytes after the loopback double-counting rule = 4362232B against 4194304B of logical payload
transfer_bytes_transport	quinn-conn-udp, FIXTURE-SCOPED: this connection sent 4337845B and received 7671B of UDP payload during the transfer, against 4194304B of logical payload — overhead 143541B (3%)
retransmission	transport path counters over the whole connection: sent_packets=3017 lost_packets=9 lost_bytes=11682 congestion_events=4 current_mtu=1452. Retransmitted bytes are inside the measured transport and interface totals and are reported here rather than subtracted from them
whole_row_interface	proc-net-dev, HOST-SCOPED, first to last sample: rx=4381664B tx=4381664B (wire 4381664B after halving) — includes the idle baseline and anything else on this host's loopback, which is exactly the limitation the method carries here
whole_row_transport	quinn-conn-udp, FIXTURE-SCOPED, whole connection: udp_tx=4348954B/3019dg udp_rx=10873B/240dg sent_packets=3020 lost_packets=9 lost_bytes=11682 congestion_events=4 current_mtu=1452
dead_collector_control	PROVED in-row: a copy of the artifact truncated mid-record is REJECTED by the validating reader (7 good samples read from the intact file), and a counter read against a non-existent interface fails with: /proc/564288/net/dev has no interface definitely-not-an-interface
row_status	PARTIAL: this host grants NEITHER a network namespace NOR packet capture (exact failing checks recorded above and in artifacts/capability-probes.txt), so the only fixture-SCOPED figures here are the source-pinned transport's own per-connection UDP counters, and the interface counters are host-scoped with an idle baseline quantifying the difference. Per-packet byte accounting of the SUBJECT's side is not observable at all. Named reason, never a skip
