server_subject	java
java_jar_sha256	91c1842f0a4fe55e7667174f680ebd427d4f70600322f63a09d01039584ccb08
authority_y	issuer-b
reference_x	REFERENCE RetainedReference { manifest: Manifest { version: Literal, authority: IdentityLabel("issuer-a"), owner: IdentityLabel("alice"), generation: Id(1), work: WorkKey { scope: Number(0), producer: Producer(0), entity: Id(1) }, attempt: Id(1), input_sha256: Digest([227, 32, 151, 43, 205, 13, 220, 113, 108, 243, 174, 69, 225, 228, 122, 139, 77, 231, 168, 128, 22, 144, 111, 35, 16, 135, 178, 152, 92, 226, 6, 130]), committed_at: Number(1789484061915), available_until: Number(1789487661915), outputs: [Output { index: OutputIndex(0), length: Number(65536), sha256: Digest([227, 32, 151, 43, 205, 13, 220, 113, 108, 243, 174, 69, 225, 228, 122, 139, 77, 231, 168, 128, 22, 144, 111, 35, 16, 135, 178, 152, 92, 226, 6, 130]), content_type: ApplicationLabel("application/octet-stream"), locator: ResultLocator("pipestream://localhost:7443/v2/sessions/1/scopes/0/producers/0/entities/1/attempts/1/outputs/0") }] }, index: OutputIndex(0) }
arm_a_attach_against_y	refused CONFLICT (7): authority refusal CONFLICT: authority differs
arm_a_read_against_y	refused CONFLICT (7): authority refusal CONFLICT: authority differs
arm_a_lookup_against_y	refused CONFLICT (7): authority refusal CONFLICT: authority differs
arm_a_watch_against_y	refused CONFLICT (7): authority refusal CONFLICT: authority differs
arm_b_select_on_y	refused NOT_FOUND (5): authority refusal NOT_FOUND: work identity is undeclared
positive_arm_read_on_x	byte-exact against the independent oracle
locator_dereference	neither client dereferences a locator's authority: the Rust read uses the journal selection on the configured connection (server/src/v2/client.rs Operation::Read), the Java client stays on the configured connection (DurableClientLocatorTest, S12-280/283); recorded, not asserted by this row
