server_subject	java
client_subject	rust (raw probe)
alpn	pipestream/2
wrong_direction_message	APPLICATION_CLOSE code=0x201 reason="not a client control request"
second_capabilities	APPLICATION_CLOSE code=0x201 reason="not a client control request"
unsolicited_selection	APPLICATION_CLOSE code=0x201 reason="first control must be a client capability offer"
repeated_request_id	APPLICATION_CLOSE code=0x201 reason="control request does not increase from one"
decreasing_request_id	APPLICATION_CLOSE code=0x201 reason="control request does not increase from one"
bare_control_fin	APPLICATION_CLOSE code=0x201 reason="control FIN before detach"
second_bidirectional_stream	second client bidirectional stream blocked past the 4s budget window while stream 0 stayed open: transport-level enforcement (peer max_concurrent_bidi_streams); no application refusal frame is expected or waited for
unidirectional_ceiling	concurrent unidirectional opens accepted: 8; blocked at the transport ceiling: false; after resetting the held streams a replacement open succeeded — credit released
